ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
988,831,-157,,Willenhall BUASD,Willenhall,West Midlands,831,423,514,1298,429,less than £350k,367,,,,,,,,,,,,,,,,,
476,832,356,,Mundesley BUA,Mundesley,East of England,832,29,1117,820,1103,£350k-£650k,372,,,,,,,,,,,,,,,,,
842,833,-9,,Wigton BUA,Wigton,North West,833,971,915,362,812,less than £350k,368,,,,,,,,,,,,,,,,,
606,834,228,,Chertsey,Chertsey,South East,834,626,1298,727,199,Over £650k,93,,,,,,,,,,,,,,,,,
545,835,290,,Bignall End BUASD,Bignall End,West Midlands,835,1187,126,883,945,less than £350k,369,,,,,,,,,,,,,,,,,
672,836,164,,Waltham Chase BUASD,Waltham Chase,South East,836,446,1284,925,161,£350k-£650k,373,,,,,,,,,,,,,,,,,
682,837,155,,Morley BUASD,Morley,Yorkshire and Humberside,837,1181,940,603,297,less than £350k,370,,,,,,,,,,,,,,,,,
773,838,65,,Bedlington BUA,Bedlington,North East,838,557,311,1233,781,less than £350k,371,,,,,,,,,,,,,,,,,
942,839,-103,,Stapleford BUASD,Stapleford,East Midlands,839,769,288,967,978,less than £350k,372,,,,,,,,,,,,,,,,,
868,840,-28,,St Helens BUASD,St Helens,North West,840,1121,224,1150,518,less than £350k,373,,,,,,,,,,,,,,,,,
674,841,167,,Polegate BUASD,Polegate,South East,841,446,173,1294,901,£350k-£650k,374,,,,,,,,,,,,,,,,,
496,842,346,,Willingham BUA,Willingham,East of England,842,1345,485,422,724,£350k-£650k,375,,,,,,,,,,,,,,,,,
1035,843,-192,,Fareham BUASD,Fareham,South East,843,409,1027,1041,419,£350k-£650k,376,,,,,,,,,,,,,,,,,
1173,844,-329,,Brierley Hill BUASD,Brierley Hill,West Midlands,844,611,620,1269,281,less than £350k,374,,,,,,,,,,,,,,,,,
847,844,-3,,Epsom,Epsom,South East,844,844,1154,863,134,Over £650k,94,,,,,,,,,,,,,,,,,
939,846,-93,,Aspull BUA,Aspull,North West,846,1271,53,763,1126,less than £350k,375,,,,,,,,,,,,,,,,,
466,847,381,,Arlesey BUA,Arlesey,East of England,847,275,284,820,1321,£350k-£650k,377,,,,,,,,,,,,,,,,,
214,848,634,,Newent BUA,Newent,South West,848,969,1205,121,876,£350k-£650k,378,,,,,,,,,,,,,,,,,
562,849,287,,Cottenham BUA,Cottenham,East of England,849,1347,832,300,557,£350k-£650k,379,,,,,,,,,,,,,,,,,
1006,850,-156,,Merton,Merton,Greater London,850,704,1273,647,311,Over £650k,95,,,,,,,,,,,,,,,,,
1062,851,-211,,Nelson (Caerphilly) BUASD,Nelson (Caerphilly),Wales,851,1124,38,867,1251,less than £350k,376,,,,,,,,,,,,,,,,,
1208,852,-356,,Portslade-by-Sea BUASD,Portslade-by-Sea,South East,852,236,499,1228,871,£350k-£650k,380,,,,,,,,,,,,,,,,,
696,853,157,,Sawston BUA,Sawston,East of England,853,1178,907,427,571,£350k-£650k,381,,,,,,,,,,,,,,,,,
775,854,79,,Newmarket BUA,Newmarket,East of England,854,1311,1227,317,143,£350k-£650k,382,,,,,,,,,,,,,,,,,
1113,855,-258,,Shirebrook BUA,Shirebrook,East Midlands,855,1202,76,1210,703,less than £350k,377,,,,,,,,,,,,,,,,,
1057,856,-201,,Kettering BUASD,Kettering,East Midlands,856,1350,641,561,448,less than £350k,378,,,,,,,,,,,,,,,,,
1012,857,-155,,Blackwater BUASD,Blackwater,South East,857,354,458,1283,665,£350k-£650k,383,,,,,,,,,,,,,,,,,
1288,858,-430,,How Wood,How,East of England,858,1023,771,1146,84,Over £650k,96,,,,,,,,,,,,,,,,,
1313,858,-455,,Bagshot BUA,Bagshot,South East,858,1120,1185,1130,1,Over £650k,97,,,,,,,,,,,,,,,,,
843,858,15,,Ashby-de-la-Zouch BUA,Ashby-de-la-Zouch,East Midlands,858,1265,1022,423,347,£350k-£650k,384,,,,,,,,,,,,,,,,,
878,861,-17,,Hawkinge BUA,Hawkinge,South East,861,446,252,1328,739,£350k-£650k,385,,,,,,,,,,,,,,,,,
1081,862,-219,,Bramhall BUASD,Bramhall,North West,862,382,836,1181,464,£350k-£650k,386,,,,,,,,,,,,,,,,,
610,863,253,,Neyland BUA,Neyland,Wales,863,120,799,558,1320,less than £350k,379,,,,,,,,,,,,,,,,,
624,864,240,,Minster (Swale) BUASD,Minster (Swale),South East,864,774,136,1140,1024,£350k-£650k,387,,,,,,,,,,,,,,,,,
592,865,273,,Haywards Heath BUA,Haywards Heath,South East,865,668,1233,904,148,£350k-£650k,388,,,,,,,,,,,,,,,,,
1154,866,-288,,Hethersett BUA,Hethersett,East of England,866,991,161,994,1013,£350k-£650k,389,,,,,,,,,,,,,,,,,
1016,867,-149,,Barrow upon Humber BUA,Barrow upon Humber,Yorkshire and Humberside,867,1212,1070,136,782,less than £350k,380,,,,,,,,,,,,,,,,,
1334,868,-466,,Billingham BUASD,Billingham,North East,868,836,510,1244,331,less than £350k,381,,,,,,,,,,,,,,,,,
754,869,115,,Armitage BUA,Armitage,West Midlands,869,123,595,1027,1177,less than £350k,382,,,,,,,,,,,,,,,,,
872,870,-2,,Trimdon BUA,Trimdon,North East,870,1049,1,1217,1345,less than £350k,383,,,,,,,,,,,,,,,,,
543,871,328,,Iwade BUA,Iwade,South East,871,964,10,1114,1339,£350k-£650k,390,,,,,,,,,,,,,,,,,
984,872,-112,,Brownhills BUASD,Brownhills,West Midlands,872,154,839,1330,457,less than £350k,384,,,,,,,,,,,,,,,,,
233,873,640,,Bollington BUASD,Bollington,North West,873,84,1353,341,1045,£350k-£650k,391,,,,,,,,,,,,,,,,,
179,874,695,,Ivybridge BUA,Ivybridge,South West,874,53,1050,742,1205,£350k-£650k,392,,,,,,,,,,,,,,,,,
987,874,-113,,Loughor BUASD,Loughor,Wales,874,311,366,913,1248,less than £350k,385,,,,,,,,,,,,,,,,,
781,876,95,,Chorleywood,Chorleywood,East of England,876,193,1357,676,456,Over £650k,98,,,,,,,,,,,,,,,,,
704,877,173,,Fordham (East Cambridgeshire) BUA,Fordham (East Cambridgeshire),East of England,877,1343,955,265,554,£350k-£650k,393,,,,,,,,,,,,,,,,,
1056,878,-178,,Burton Joyce BUA,Burton Joyce,East Midlands,878,982,1000,458,709,£350k-£650k,394,,,,,,,,,,,,,,,,,
907,879,-28,,Llangefni BUA,Llangefni,Wales,879,951,343,849,962,less than £350k,386,,,,,,,,,,,,,,,,,
896,880,-16,,Hedge End BUASD,Hedge End,South East,880,635,907,1213,206,£350k-£650k,395,,,,,,,,,,,,,,,,,
1248,881,-367,,Rawmarsh BUASD,Rawmarsh,Yorkshire and Humberside,881,917,212,1137,832,less than £350k,387,,,,,,,,,,,,,,,,,
1047,882,-165,,Askern BUA,Askern,Yorkshire and Humberside,882,1287,21,1220,946,less than £350k,388,,,,,,,,,,,,,,,,,
1018,883,-135,,Royton BUASD,Royton,North West,883,983,94,1175,979,less than £350k,389,,,,,,,,,,,,,,,,,
736,884,148,,Eccleshall BUA,Eccleshall,West Midlands,884,1142,766,131,1124,£350k-£650k,396,,,,,,,,,,,,,,,,,
411,885,474,,Filey BUA,Filey,Yorkshire and Humberside,885,637,816,303,1224,less than £350k,390,,,,,,,,,,,,,,,,,
1160,886,-274,,Yaxley BUA,Yaxley,East of England,886,1155,204,1052,753,£350k-£650k,397,,,,,,,,,,,,,,,,,
1171,887,-284,,Whitley Bay BUASD,Whitley Bay,North East,887,822,378,1077,757,£350k-£650k,398,,,,,,,,,,,,,,,,,
1128,888,-240,,Barton-under-Needwood BUA,Barton-under-Needwood,West Midlands,888,1091,258,539,1213,£350k-£650k,399,,,,,,,,,,,,,,,,,
644,889,245,,Kingsclere BUA,Kingsclere,South East,889,446,823,337,1266,£350k-£650k,400,,,,,,,,,,,,,,,,,
1134,890,-244,,Aveley BUA,Aveley,East of England,890,1089,35,1139,1119,£350k-£650k,401,,,,,,,,,,,,,,,,,
376,891,515,,Swanscombe BUASD,Swanscombe,South East,891,440,1199,677,670,£350k-£650k,402,,,,,,,,,,,,,,,,,
578,892,314,,Seaford BUA,Seaford,South East,892,131,914,872,1115,£350k-£650k,403,,,,,,,,,,,,,,,,,
814,893,79,,Kinmel Bay BUASD,Kinmel Bay,Wales,893,427,181,1258,1064,less than £350k,391,,,,,,,,,,,,,,,,,
508,894,386,,Horsham BUASD,Horsham,South East,894,270,1210,799,722,£350k-£650k,404,,,,,,,,,,,,,,,,,
1246,894,-352,,Birstall BUASD,Birstall,East Midlands,894,1059,193,1287,496,£350k-£650k,405,,,,,,,,,,,,,,,,,
948,896,-52,,Llangennech BUASD,Llangennech,Wales,896,220,661,1009,1096,less than £350k,392,,,,,,,,,,,,,,,,,
895,897,2,,Warlingham,Warlingham,South East,897,671,955,1129,251,Over £650k,99,,,,,,,,,,,,,,,,,
1193,898,-295,,Sutton in Ashfield BUASD,Sutton in Ashfield,East Midlands,898,1161,191,1185,603,less than £350k,393,,,,,,,,,,,,,,,,,
1036,899,-137,,Elsenham BUASD,Elsenham,East of England,899,1308,337,504,969,£350k-£650k,406,,,,,,,,,,,,,,,,,
607,900,293,,Wem BUA,Wem,West Midlands,900,1231,653,298,974,less than £350k,394,,,,,,,,,,,,,,,,,
926,901,-25,,Chopwell BUA,Chopwell,North East,901,1011,11,1048,1369,less than £350k,395,,,,,,,,,,,,,,,,,
641,901,260,,Snaith BUASD,Snaith,Yorkshire and Humberside,901,1328,552,297,947,less than £350k,396,,,,,,,,,,,,,,,,,
305,903,598,,Uckfield BUASD,Uckfield,South East,903,219,1315,634,784,£350k-£650k,407,,,,,,,,,,,,,,,,,
888,904,16,,Thatcham BUASD,Thatcham,South East,904,350,726,1024,906,£350k-£650k,409,,,,,,,,,,,,,,,,,
998,904,-94,,Helsby BUA,Helsby,North West,904,1272,971,660,215,£350k-£650k,408,,,,,,,,,,,,,,,,,
1034,906,-128,,Pill BUASD,Pill,South West,906,417,1182,812,619,£350k-£650k,410,,,,,,,,,,,,,,,,,
1003,907,-96,,Chilton (County Durham) BUA,Chilton (County Durham),North East,907,1207,18,1208,1110,less than £350k,397,,,,,,,,,,,,,,,,,
1184,908,-276,,Aldridge BUASD,Aldridge,West Midlands,908,434,633,1312,409,£350k-£650k,411,,,,,,,,,,,,,,,,,
908,909,1,,Milnrow BUASD,Milnrow,North West,909,599,333,681,1282,less than £350k,398,,,,,,,,,,,,,,,,,
505,910,405,,Llantwit Major BUASD,Llantwit Major,Wales,910,446,830,658,1073,£350k-£650k,412,,,,,,,,,,,,,,,,,
1280,911,-369,,Little Lever BUASD,Little Lever,North West,911,749,188,1282,792,less than £350k,399,,,,,,,,,,,,,,,,,
914,912,-2,,Stourbridge BUASD,Stourbridge,West Midlands,912,1042,1015,910,204,£350k-£650k,413,,,,,,,,,,,,,,,,,
222,913,691,,Hadlow BUA,Hadlow,South East,913,767,1009,105,1265,£350k-£650k,414,,,,,,,,,,,,,,,,,
1094,914,-180,,Seaton Delaval BUASD,Seaton Delaval,North East,914,1179,160,1226,598,less than £350k,400,,,,,,,,,,,,,,,,,
968,915,-53,,Nanpean BUA,Nanpean,South West,915,939,357,824,1029,less than £350k,401,,,,,,,,,,,,,,,,,
634,916,282,,Royston BUA,Royston,East of England,916,1225,983,402,583,£350k-£650k,415,,,,,,,,,,,,,,,,,
453,917,464,,Toddington BUA,Toddington,East of England,917,813,843,315,1150,£350k-£650k,416,,,,,,,,,,,,,,,,,
983,918,-65,,Newport Pagnell BUASD,Newport Pagnell,South East,918,613,1246,534,720,£350k-£650k,417,,,,,,,,,,,,,,,,,
566,919,353,,Barnet,Barnet,Greater London,919,917,1286,786,126,Over £650k,100,,,,,,,,,,,,,,,,,
1145,920,-225,,Newcastle-under-Lyme BUASD,Newcastle-under-Lyme,West Midlands,920,1169,700,1034,229,less than £350k,402,,,,,,,,,,,,,,,,,
1052,921,-131,,Long Eaton BUASD,Long Eaton,East Midlands,921,696,941,832,658,less than £350k,403,,,,,,,,,,,,,,,,,
904,922,18,,Clapham (Bedford) BUA,Clapham (Bedford),East of England,922,626,437,791,1174,£350k-£650k,418,,,,,,,,,,,,,,,,,
1170,923,-247,,Burghfield Common BUA,Burghfield Common,South East,923,839,396,1138,704,£350k-£650k,419,,,,,,,,,,,,,,,,,
923,924,1,,Howden BUA,Howden,Yorkshire and Humberside,924,1293,1251,133,533,less than £350k,404,,,,,,,,,,,,,,,,,
792,925,133,,Chelmsford BUASD,Chelmsford,East of England,925,945,1168,890,176,£350k-£650k,420,,,,,,,,,,,,,,,,,
357,926,569,,Fremington BUA,Fremington,South West,926,292,1115,709,970,£350k-£650k,421,,,,,,,,,,,,,,,,,
332,927,595,,Wantage BUA,Wantage,South East,927,446,1176,590,865,£350k-£650k,422,,,,,,,,,,,,,,,,,
815,928,113,,Iver Heath,Iver,South East,928,739,776,872,738,Over £650k,101,,,,,,,,,,,,,,,,,
468,929,461,,Calne BUA,Calne,South West,929,687,1081,410,988,£350k-£650k,423,,,,,,,,,,,,,,,,,
1111,930,-181,,Beeston (Broxtowe) BUASD,Beeston (Broxtowe),East Midlands,930,979,730,980,473,£350k-£650k,424,,,,,,,,,,,,,,,,,
275,931,656,,Great Torrington BUA,Great Torrington,South West,931,559,1283,220,1087,less than £350k,405,,,,,,,,,,,,,,,,,
535,931,396,,Wilsden BUASD,Wilsden,Yorkshire and Humberside,931,1082,202,466,1310,less than £350k,406,,,,,,,,,,,,,,,,,
1203,933,-270,,Murton (Swansea) BUA,Murton (Swansea),Wales,933,446,756,1192,587,£350k-£650k,425,,,,,,,,,,,,,,,,,
390,934,544,,Parbold BUASD,Parbold,North West,934,593,1172,505,917,£350k-£650k,427,,,,,,,,,,,,,,,,,
756,934,178,,Poringland BUA,Poringland,East of England,934,852,734,788,777,£350k-£650k,426,,,,,,,,,,,,,,,,,
753,936,183,,Luton BUASD,Luton,East of England,936,446,822,1148,581,£350k-£650k,428,,,,,,,,,,,,,,,,,
270,937,667,,Steyning BUASD,Steyning,South East,937,446,1307,195,1101,£350k-£650k,429,,,,,,,,,,,,,,,,,
1249,938,-311,,Maghull BUA,Maghull,North West,938,682,477,1290,482,less than £350k,407,,,,,,,,,,,,,,,,,
801,939,138,,Llanbradach BUA,Llanbradach,Wales,939,377,538,507,1357,less than £350k,408,,,,,,,,,,,,,,,,,
1137,940,-197,,Hinckley BUA,Hinckley,East Midlands,940,1107,837,1195,56,£350k-£650k,430,,,,,,,,,,,,,,,,,
1155,941,-214,,Horsforth BUASD,Horsforth,Yorkshire and Humberside,941,642,746,1046,674,£350k-£650k,431,,,,,,,,,,,,,,,,,
1050,942,-108,,Newhey BUASD,Newhey,North West,942,378,185,903,1364,less than £350k,409,,,,,,,,,,,,,,,,,
1281,943,-338,,Catshill BUASD,Catshill,West Midlands,943,1268,354,1241,174,£350k-£650k,432,,,,,,,,,,,,,,,,,
1243,944,-299,,Litherland BUASD,Litherland,North West,944,721,150,1184,1111,less than £350k,410,,,,,,,,,,,,,,,,,
1063,945,-118,,Haverhill BUA,Haverhill,East of England,945,1251,101,1055,956,£350k-£650k,433,,,,,,,,,,,,,,,,,
1332,946,-386,,Wednesbury BUASD,Wednesbury,West Midlands,946,909,318,1238,655,less than £350k,411,,,,,,,,,,,,,,,,,
1156,947,-209,,Earby BUA,Earby,North West,947,954,1270,723,233,less than £350k,412,,,,,,,,,,,,,,,,,
989,948,-41,,Kirton (Boston) BUA,Kirton (Boston),East Midlands,948,1270,618,579,714,less than £350k,413,,,,,,,,,,,,,,,,,
1294,949,-345,,Cleveleys BUASD,Cleveleys,North West,949,682,207,1358,718,less than £350k,414,,,,,,,,,,,,,,,,,
906,950,44,,Sale BUASD,Sale,North West,950,647,633,1169,624,£350k-£650k,434,,,,,,,,,,,,,,,,,
551,951,400,,Thame BUA,Thame,South East,951,605,1355,356,607,Over £650k,102,,,,,,,,,,,,,,,,,
769,952,183,,Fulwood BUASD,Fulwood,North West,952,609,469,1165,841,less than £350k,415,,,,,,,,,,,,,,,,,
776,953,177,,Porthcawl BUA,Porthcawl,Wales,953,126,625,1037,1244,£350k-£650k,435,,,,,,,,,,,,,,,,,
755,954,199,,Whitwell (Bolsover) BUA,Whitwell (Bolsover),East Midlands,954,1222,153,448,1304,less than £350k,416,,,,,,,,,,,,,,,,,
1119,955,-164,,Shavington BUASD,Shavington,North West,955,1253,444,1108,327,less than £350k,417,,,,,,,,,,,,,,,,,
1157,956,-201,,Filton BUASD,Filton,South West,956,1039,1062,1142,44,£350k-£650k,436,,,,,,,,,,,,,,,,,
803,957,154,,Pevensey Bay BUA,Pevensey Bay,South East,957,181,247,1163,1314,£350k-£650k,437,,,,,,,,,,,,,,,,,
807,958,151,,Winsford (Cheshire West and Chester) BUA,Winsford (Cheshire West and Chester),North West,958,986,261,1117,883,less than £350k,419,,,,,,,,,,,,,,,,,
688,958,270,,Crowle (North Lincolnshire) BUA,Crowle (North Lincolnshire),Yorkshire and Humberside,958,1303,393,414,1070,less than £350k,418,,,,,,,,,,,,,,,,,
1235,960,-275,,Immingham BUASD,Immingham,Yorkshire and Humberside,960,797,1094,1159,121,less than £350k,420,,,,,,,,,,,,,,,,,
524,961,437,,Denby Dale BUA,Denby Dale,Yorkshire and Humberside,961,952,849,500,994,less than £350k,421,,,,,,,,,,,,,,,,,
1114,962,-152,,Partington BUASD,Partington,North West,962,849,22,1254,1293,less than £350k,422,,,,,,,,,,,,,,,,,
640,963,323,,Pudsey BUASD,Pudsey,Yorkshire and Humberside,963,1055,966,607,665,less than £350k,423,,,,,,,,,,,,,,,,,
1165,964,-201,,Rothwell BUASD,Rothwell,Yorkshire and Humberside,964,1000,233,1100,938,less than £350k,424,,,,,,,,,,,,,,,,,
936,965,29,,Willand BUA,Willand,South West,965,888,1222,520,637,£350k-£650k,438,,,,,,,,,,,,,,,,,
1074,966,-108,,Alveston BUA,Alveston,South West,966,1065,636,651,926,£350k-£650k,439,,,,,,,,,,,,,,,,,
1236,967,-269,,Taverham BUASD,Taverham,East of England,967,630,418,1140,949,£350k-£650k,440,,,,,,,,,,,,,,,,,
1183,968,-215,,Halesowen BUASD,Halesowen,West Midlands,968,1035,762,1080,352,less than £350k,425,,,,,,,,,,,,,,,,,
377,969,592,,Cricklade BUA,Cricklade,South West,969,333,1230,144,1312,£350k-£650k,441,,,,,,,,,,,,,,,,,
615,969,354,,Eccleston BUASD,Eccleston,North West,969,1057,672,866,663,less than £350k,426,,,,,,,,,,,,,,,,,
475,971,496,,Rhondda BUASD,Rhondda,Wales,971,242,609,684,1338,less than £350k,427,,,,,,,,,,,,,,,,,
1132,971,-161,,Willaston BUASD,Willaston,North West,971,1182,470,550,1055,£350k-£650k,442,,,,,,,,,,,,,,,,,
857,973,116,,Cheadle BUA,Cheadle,West Midlands,973,1025,1248,356,648,less than £350k,428,,,,,,,,,,,,,,,,,
731,974,243,,Gorseinon BUASD,Gorseinon,Wales,974,313,1187,1099,521,less than £350k,429,,,,,,,,,,,,,,,,,
779,975,196,,Stone (Stafford) BUA,Stone (Stafford),West Midlands,975,306,1301,761,705,less than £350k,430,,,,,,,,,,,,,,,,,
396,976,580,,Snodland BUA,Snodland,South East,976,293,786,559,1311,£350k-£650k,443,,,,,,,,,,,,,,,,,
1158,977,-181,,Bishop's Cleeve BUASD,Bishop's Cleeve,South West,977,446,999,880,859,£350k-£650k,444,,,,,,,,,,,,,,,,,
582,977,395,,Rhosllanerchrugog BUASD,Rhosllanerchrugog,Wales,977,672,397,788,1230,less than £350k,431,,,,,,,,,,,,,,,,,
1352,979,-373,,Arnold BUASD,Arnold,East Midlands,979,1284,225,1311,255,less than £350k,432,,,,,,,,,,,,,,,,,
1266,980,-286,,Rowley Regis BUASD,Rowley Regis,West Midlands,980,577,503,1340,565,less than £350k,433,,,,,,,,,,,,,,,,,
642,981,339,,Torpoint BUA,Torpoint,South West,981,76,927,787,1300,less than £350k,434,,,,,,,,,,,,,,,,,
1021,982,-39,,Chalfont St Giles,Chalfont St,South East,982,446,881,552,1226,Over £650k,103,,,,,,,,,,,,,,,,,
901,982,81,,Long Stratton BUA,Long Stratton,East of England,982,1085,631,532,1049,£350k-£650k,445,,,,,,,,,,,,,,,,,
1245,984,-261,,Horndean BUASD,Horndean,South East,984,446,777,1320,393,£350k-£650k,446,,,,,,,,,,,,,,,,,
1135,985,-150,,Dersingham BUA,Dersingham,East of England,985,446,808,899,1003,£350k-£650k,447,,,,,,,,,,,,,,,,,
1324,986,-338,,North Ferriby BUASD,North Ferriby,Yorkshire and Humberside,986,933,975,927,480,less than £350k,435,,,,,,,,,,,,,,,,,
313,987,674,,Boroughbridge BUASD,Boroughbridge,Yorkshire and Humberside,987,303,1358,366,870,£350k-£650k,448,,,,,,,,,,,,,,,,,
747,988,241,,Platt Bridge BUASD,Platt Bridge,North West,988,925,282,1029,1064,less than £350k,436,,,,,,,,,,,,,,,,,
985,989,4,,Coxheath BUA,Coxheath,South East,989,966,299,970,1068,£350k-£650k,449,,,,,,,,,,,,,,,,,
500,990,490,,Romiley BUASD,Romiley,North West,990,295,791,1112,944,£350k-£650k,451,,,,,,,,,,,,,,,,,
1142,990,-152,,Kingswinford BUASD,Kingswinford,West Midlands,990,808,605,1262,442,£350k-£650k,450,,,,,,,,,,,,,,,,,
752,992,240,,South Ockendon BUA,South Ockendon,East of England,992,847,515,1243,561,£350k-£650k,453,,,,,,,,,,,,,,,,,
953,992,39,,Redditch BUASD,Redditch,West Midlands,992,1032,429,1230,529,£350k-£650k,452,,,,,,,,,,,,,,,,,
928,994,66,,Castleford BUASD,Castleford,Yorkshire and Humberside,994,1037,478,1247,417,less than £350k,437,,,,,,,,,,,,,,,,,
909,995,86,,New Milton BUASD,New Milton,South East,995,446,1076,1277,250,£350k-£650k,454,,,,,,,,,,,,,,,,,
698,996,298,,Crawley Down BUASD,Crawley Down,South East,996,716,1321,942,146,£350k-£650k,455,,,,,,,,,,,,,,,,,
564,997,433,,March BUA,March,East of England,997,754,995,745,799,less than £350k,438,,,,,,,,,,,,,,,,,
804,998,194,,Sedgefield BUA,Sedgefield,North East,998,1131,681,498,1021,less than £350k,439,,,,,,,,,,,,,,,,,
499,999,500,,Kirkbymoorside BUA,Kirkbymoorside,Yorkshire and Humberside,999,708,1368,105,769,£350k-£650k,456,,,,,,,,,,,,,,,,,
599,1000,401,,Swineshead BUA,Swineshead,East Midlands,1000,1274,379,347,1208,less than £350k,440,,,,,,,,,,,,,,,,,
1097,1001,-96,,Cil-y-coed BUA,Cil-y-coed,Wales,1001,835,735,860,858,£350k-£650k,457,,,,,,,,,,,,,,,,,
1077,1001,-76,,Longton BUASD,Longton,North West,1001,1171,939,1084,118,£350k-£650k,458,,,,,,,,,,,,,,,,,
1007,1003,-4,,Earl Shilton BUASD,Earl Shilton,East Midlands,1003,1321,219,1079,689,less than £350k,441,,,,,,,,,,,,,,,,,
572,1004,432,,Stoke Poges,Stoke,South East,1004,978,838,663,872,Over £650k,104,,,,,,,,,,,,,,,,,
554,1005,451,,Caterham,Caterham,South East,1005,446,1099,988,690,£350k-£650k,459,,,,,,,,,,,,,,,,,
1042,1006,-36,,Pontycymer BUA,Pontycymer,Wales,1006,1110,118,564,1368,less than £350k,442,,,,,,,,,,,,,,,,,
445,1006,561,,Tarporley BUA,Tarporley,North West,1006,1277,1257,251,531,£350k-£650k,460,,,,,,,,,,,,,,,,,
956,1008,52,,Widnes BUA,Widnes,North West,1008,1121,775,1246,97,less than £350k,443,,,,,,,,,,,,,,,,,
334,1009,675,,Williton BUA,Williton,South West,1009,742,975,352,1198,£350k-£650k,461,,,,,,,,,,,,,,,,,
1270,1010,-260,,Sharlston BUASD,Sharlston,Yorkshire and Humberside,1010,1248,248,1153,639,less than £350k,444,,,,,,,,,,,,,,,,,
1129,1011,-118,,Shotton Colliery BUASD,Shotton Colliery,North East,1011,892,32,1293,1234,less than £350k,445,,,,,,,,,,,,,,,,,
707,1012,305,,Harrow,Harrow,Greater London,1012,702,1309,973,185,Over £650k,105,,,,,,,,,,,,,,,,,
677,1013,336,,Willington (South Derbyshire) BUA,Willington (South Derbyshire),East Midlands,1013,551,742,879,1093,£350k-£650k,462,,,,,,,,,,,,,,,,,
534,1014,480,,Gamlingay BUA,Gamlingay,East of England,1014,1232,809,151,1177,£350k-£650k,463,,,,,,,,,,,,,,,,,
853,1015,162,,Cheddleton BUA,Cheddleton,West Midlands,1015,328,1334,553,892,less than £350k,446,,,,,,,,,,,,,,,,,
783,1016,233,,Bramley BUA,Bramley,South East,1016,926,552,752,1090,£350k-£650k,464,,,,,,,,,,,,,,,,,
1198,1017,-181,,West Bridgford BUASD,West Bridgford,East Midlands,1017,802,1096,1191,178,£350k-£650k,465,,,,,,,,,,,,,,,,,
1297,1018,-279,,Thurcroft BUA,Thurcroft,Yorkshire and Humberside,1018,1211,79,1315,761,less than £350k,447,,,,,,,,,,,,,,,,,
992,1019,27,,Bourne BUA,Bourne,East Midlands,1019,1128,1235,728,244,£350k-£650k,466,,,,,,,,,,,,,,,,,
788,1020,232,,South Hayling BUA,South Hayling,South East,1020,40,792,1257,1143,£350k-£650k,467,,,,,,,,,,,,,,,,,
826,1020,194,,Millom BUA,Millom,North West,1020,379,486,680,1355,less than £350k,448,,,,,,,,,,,,,,,,,
1040,1022,-18,,Awsworth BUASD,Awsworth,East Midlands,1022,1020,617,763,972,less than £350k,449,,,,,,,,,,,,,,,,,
1140,1022,-118,,Rainford BUASD,Rainford,North West,1022,1317,163,992,940,less than £350k,450,,,,,,,,,,,,,,,,,
894,1024,130,,Kingsteignton BUASD,Kingsteignton,South West,1024,678,701,870,1024,£350k-£650k,468,,,,,,,,,,,,,,,,,
1049,1025,-24,,Tuxford BUA,Tuxford,East Midlands,1025,1329,467,284,1192,less than £350k,451,,,,,,,,,,,,,,,,,
240,1026,786,,Shifnal BUA,Shifnal,West Midlands,1026,1008,989,489,959,£350k-£650k,469,,,,,,,,,,,,,,,,,
658,1027,369,,St Columb Major BUA,St Columb Major,South West,1027,981,1221,91,1165,£350k-£650k,470,,,,,,,,,,,,,,,,,
1023,1028,5,,Brackley BUA,Brackley,East Midlands,1028,1191,1023,610,571,£350k-£650k,471,,,,,,,,,,,,,,,,,
1022,1029,7,,Laceby BUA,Laceby,Yorkshire and Humberside,1029,677,534,772,1214,less than £350k,452,,,,,,,,,,,,,,,,,
667,1030,363,,Swanley BUASD,Swanley,South East,1030,446,895,1232,594,£350k-£650k,472,,,,,,,,,,,,,,,,,
746,1031,285,,Saxilby BUA,Saxilby,East Midlands,1031,657,1027,800,846,less than £350k,453,,,,,,,,,,,,,,,,,
1136,1032,-104,,Seaham BUA,Seaham,North East,1032,372,324,1307,1039,less than £350k,454,,,,,,,,,,,,,,,,,
912,1033,121,,Great Houghton (Barnsley) BUA,Great Houghton (Barnsley),Yorkshire and Humberside,1033,1190,27,960,1351,less than £350k,455,,,,,,,,,,,,,,,,,
998,1034,36,,Burnopfield BUA,Burnopfield,North East,1034,1062,170,830,1263,less than £350k,456,,,,,,,,,,,,,,,,,
1176,1035,-141,,Worsley BUASD,Worsley,North West,1035,904,402,962,1066,£350k-£650k,473,,,,,,,,,,,,,,,,,
1214,1036,-178,,Southend-on-Sea BUASD,Southend-on-Sea,East of England,1036,900,1049,1090,316,£350k-£650k,474,,,,,,,,,,,,,,,,,
733,1037,304,,Castle Cary BUA,Castle Cary,South West,1037,1022,1139,171,1134,£350k-£650k,475,,,,,,,,,,,,,,,,,
410,1038,628,,Bawtry BUASD,Bawtry,Yorkshire and Humberside,1038,1068,346,474,1304,less than £350k,457,,,,,,,,,,,,,,,,,
